期号,开奖日期,前区号码,后区号码,奖池金额,全国销量
21039,2021-04-10,04 12 14 21 35,02 11,"909,367,812.50","392,788,008"
21040,2021-04-12,02 03 09 16 19,03 07,"870,795,060.28","359,580,080"
21041,2021-04-14,02 05 09 11 32,04 09,"825,740,751.04","359,992,265"
21042,2021-04-17,09 15 20 23 29,04 05,"871,261,627.71","393,684,367"
21043,2021-04-19,07 12 17 19 34,01 10,"782,390,745.06","360,667,332"
21044,2021-04-21,06 18 31 33 35,10 11,"748,920,582.87","363,597,797"
21045,2021-04-24,01 04 06 11 19,07 09,"786,177,311.03","393,747,066"
21046,2021-04-26,06 08 12 14 18,06 08,"748,366,613.41","359,217,248"
21047,2021-04-28,01 06 09 25 33,04 08,"812,065,710.28","361,812,479"
21048,2021-05-01,04 07 17 21 27,10 12,"743,586,048.12","361,695,321"
21049,2021-05-03,01 10 22 23 25,02 12,"804,858,111.37","318,983,261"
21050,2021-05-05,09 22 32 33 35,05 10,"776,495,377.98","332,629,347"
21051,2021-05-08,01 04 14 16 19,03 04,"758,421,416.42","378,483,472"
21052,2021-05-10,02 11 13 14 30,09 12,"786,688,797.44","346,174,575"
21053,2021-05-12,03 06 15 17 35,07 11,"804,585,433.31","352,261,603"
21054,2021-05-15,03 06 17 20 25,03 09,"830,717,938.76","372,706,677"
21055,2021-05-17,03 06 10 11 24,10 11,"832,841,055.27","340,947,213"
21056,2021-05-19,03 11 16 21 26,09 10,"789,092,339.63","339,616,577"
21057,2021-05-22,05 07 19 20 28,05 07,"527,921,742.44","364,226,316"
21058,2021-05-24,13 15 17 23 34,01 11,"584,612,592.08","341,604,964"
21059,2021-05-26,04 16 27 28 35,02 09,"542,212,080.83","310,375,326"
21060,2021-05-29,09 13 25 31 33,03 07,"509,405,220.73","328,214,576"
21061,2021-05-31,15 19 20 26 32,04 07,"502,877,803.60","304,392,970"
21062,2021-06-02,04 06 23 32 34,05 07,"525,343,538.12","302,275,847"
21063,2021-06-05,05 09 14 29 30,09 11,"500,754,392.06","320,996,162"
21064,2021-06-07,01 17 19 32 34,06 10,"546,378,196.50","294,413,689"
21065,2021-06-09,23 25 30 31 35,07 08,"539,311,034.33","297,780,859"
21066,2021-06-12,24 26 29 34 35,09 11,"506,581,578.84","311,082,841"
21067,2021-06-14,01 04 22 23 34,08 09,"558,289,398.40","281,023,856"
21068,2021-06-16,02 20 21 26 30,02 10,"527,817,203.45","291,893,269"
21069,2021-06-19,01 03 24 32 33,04 06,"554,239,484.49","314,771,219"
21070,2021-06-21,03 20 21 22 24,06 12,"612,658,365.61","289,443,325"
21071,2021-06-23,08 11 16 29 35,01 04,"596,211,840.48","285,731,730"
21072,2021-06-26,02 03 15 22 26,03 11,"627,008,381.09","303,912,550"
21073,2021-06-28,08 12 14 20 24,06 10,"657,298,888.03","280,274,335"
21074,2021-06-30,11 14 18 20 25,03 07,"700,603,888.99","289,189,592"
21075,2021-07-03,06 14 15 17 20,01 05,"752,135,503.11","306,666,791"
21076,2021-07-05,06 13 22 25 26,02 04,"775,457,206.18","281,760,059"
21077,2021-07-07,02 06 09 21 25,06 08,"789,285,714.35","279,629,097"
21078,2021-07-10,02 08 17 19 25,01 05,"821,042,099.26","302,960,803"
21079,2021-07-12,06 14 19 26 33,08 11,"802,121,550.54","279,520,279"
21080,2021-07-14,15 16 20 29 30,06 10,"767,631,447.82","276,105,107"
21081,2021-07-17,05 13 24 29 35,07 08,"807,325,943.55","301,662,622"
21082,2021-07-19,01 14 22 29 33,03 10,"747,230,175.62","278,896,069"
21083,2021-07-21,07 09 11 26 35,01 08,"759,158,453.25","272,635,093"
21084,2021-07-24,02 10 14 30 33,06 09,"763,493,931.86","290,591,822"
21085,2021-07-26,01 12 15 26 35,10 11,"775,634,441.02","270,848,072"
21086,2021-07-28,02 03 07 16 17,06 10,"822,607,828.27","272,160,233"
21087,2021-07-31,10 14 15 25 28,03 10,"797,251,485.10","290,446,990"
21088,2021-08-02,02 14 31 34 35,01 07,"822,562,305.49","264,720,425"
21089,2021-08-04,01 17 24 28 35,10 12,"851,200,235.11","269,906,690"
21090,2021-08-07,06 07 19 26 32,06 12,"880,472,277.72","289,448,960"
21091,2021-08-09,01 04 10 21 29,03 05,"877,764,456.13","272,675,404"
21092,2021-08-11,12 14 27 28 34,03 07,"907,549,564.31","281,386,147"
21093,2021-08-14,20 25 27 28 31,08 11,"948,527,899.75","302,609,762"
21094,2021-08-16,05 06 24 27 33,05 12,"931,384,310.15","275,141,551"
21095,2021-08-18,10 15 19 20 30,11 12,"962,561,875.79","279,549,610"
21096,2021-08-21,07 08 10 20 21,01 05,"927,073,812.26","297,348,639"
21097,2021-08-23,11 26 30 31 33,03 10,"975,519,759.75","272,897,259"
21098,2021-08-25,02 07 21 27 33,07 09,"1,007,650,453.08","276,951,852"
21099,2021-08-28,15 19 27 28 30,03 04,"1,062,893,864.62","303,058,009"
21100,2021-08-30,07 11 23 26 28,02 07,"1,059,494,717.70","280,471,793"
21101,2021-09-01,13 18 19 27 32,06 11,"1,043,300,674.47","281,242,026"
21102,2021-09-04,02 08 11 16 23,02 07,"982,320,278.84","305,869,819"
21103,2021-09-06,04 10 23 30 31,05 11,"1,037,062,397.49","282,429,778"
21104,2021-09-08,23 25 26 30 33,03 11,"1,086,226,837.49","286,479,253"
21105,2021-09-11,07 10 11 17 18,04 09,"1,087,468,356.52","304,015,740"
21106,2021-09-13,02 13 14 32 34,02 12,"1,149,093,887.88","276,794,901"
21107,2021-09-15,03 05 13 20 25,07 11,"1,105,541,509.15","281,751,709"
21108,2021-09-18,05 19 22 26 35,02 06,"1,069,829,501.49","303,354,020"
21109,2021-09-20,03 04 07 27 31,06 09,"1,073,585,145.39","265,547,489"
21110,2021-09-22,11 14 29 31 32,11 12,"1,046,721,833.88","276,544,919"
21111,2021-09-25,07 08 15 19 28,08 09,"995,038,782.53","305,345,840"
21112,2021-09-27,18 21 22 23 35,11 12,"1,058,537,381.01","283,298,709"
21113,2021-09-29,17 18 25 27 28,04 08,"1,035,393,331.05","283,440,028"
21114,2021-10-06,08 09 13 29 30,01 11,"1,081,182,210.09","283,727,610"
21115,2021-10-09,08 13 19 20 29,06 10,"1,111,593,015.51","299,770,302"
21116,2021-10-11,04 25 28 29 35,03 11,"1,151,852,869.52","279,695,241"
21117,2021-10-13,11 18 21 22 33,05 06,"1,124,390,424.96","279,505,700"
21118,2021-10-16,14 17 18 28 34,02 03,"1,146,057,645.59","302,397,723"
21119,2021-10-18,01 02 09 16 30,09 10,"1,157,376,911.64","290,165,267"
21120,2021-10-20,05 10 21 25 31,05 11,"1,120,909,519.29","285,711,031"
21121,2021-10-23,02 15 19 29 30,02 09,"1,146,249,375.71","313,275,937"
21122,2021-10-25,14 15 26 27 29,04 05,"1,186,675,748.27","294,005,109"
21123,2021-10-27,08 23 26 27 33,08 09,"1,210,823,709.96","296,213,304"
21124,2021-10-30,10 17 22 25 35,07 09,"1,239,396,849.23","314,165,395"
21125,2021-11-01,17 19 21 27 31,04 09,"1,288,689,189.63","285,946,298"
21126,2021-11-03,01 11 12 34 35,09 12,"1,337,033,731.65","289,363,128"
21127,2021-11-06,01 02 15 17 26,02 11,"1,374,522,133.98","305,525,077"
21128,2021-11-08,14 17 18 23 27,05 08,"1,337,287,551.46","282,038,607"
21129,2021-11-10,02 16 17 18 34,04 10,"1,403,814,394.73","294,268,030"
21130,2021-11-13,02 03 14 27 28,05 10,"1,329,267,789.03","317,382,301"
21131,2021-11-15,06 08 16 34 35,05 06,"1,360,443,412.46","296,451,386"
21132,2021-11-17,04 21 28 29 33,03 11,"1,318,930,415.88","297,729,643"
21133,2021-11-20,08 09 17 26 28,06 08,"1,243,590,906.93","327,493,668"
21134,2021-11-22,02 06 14 19 28,01 06,"1,248,689,538.91","308,110,428"
21135,2021-11-24,04 07 17 29 31,05 06,"1,262,006,660.75","314,847,908"
21136,2021-11-27,08 12 19 27 33,02 05,"1,292,130,528.96","327,765,275"
21137,2021-11-29,02 07 13 14 19,04 05,"1,263,704,189.15","302,260,255"
21138,2021-12-01,09 11 12 15 31,05 11,"1,273,167,982.95","303,548,798"
21139,2021-12-04,05 13 18 23 34,08 09,"1,083,766,581.13","328,551,201"
21140,2021-12-06,05 24 26 33 35,09 12,"1,116,819,863.25","305,536,538"
21141,2021-12-08,02 08 16 29 34,05 12,"1,157,697,510.70","303,700,722"
21142,2021-12-11,11 13 17 19 25,02 09,"1,152,884,152.84","321,224,093"
21143,2021-12-13,09 17 19 29 34,04 11,"1,104,620,668.10","295,955,136"
21144,2021-12-15,03 20 25 30 34,02 09,"1,153,487,670.37","307,637,069"
21145,2021-12-18,03 08 25 29 30,01 06,"1,160,533,245.59","320,066,364"
21146,2021-12-20,03 05 08 18 20,09 11,"1,139,389,366.87","293,542,849"
21147,2021-12-22,01 02 08 12 26,01 07,"1,156,628,877.47","294,787,629"
21148,2021-12-25,01 04 12 16 29,04 08,"1,140,109,035.45","309,690,271"
21149,2021-12-27,20 26 28 30 35,10 11,"1,187,821,356.57","288,342,246"
21150,2021-12-29,04 10 11 23 26,07 10,"1,187,065,937.81","297,315,273"
22001,2022-01-01,08 11 19 22 29,03 11,"1,129,936,273.17","323,959,870"
22002,2022-01-03,04 06 07 09 24,04 12,"1,108,263,190.91","293,300,380"
22003,2022-01-05,02 18 24 25 34,08 12,"1,117,630,715.55","293,411,992"
22004,2022-01-08,07 20 27 30 33,03 04,"1,161,605,667.16","318,985,651"
22005,2022-01-10,02 13 17 19 34,05 09,"1,082,745,176.21","290,292,047"
22006,2022-01-12,01 05 07 17 20,05 12,"1,126,455,275.17","292,369,845"
22007,2022-01-15,05 22 23 25 35,03 11,"1,166,246,610.02","314,958,868"
22008,2022-01-17,01 02 13 18 34,06 07,"1,212,783,541.04","288,005,510"
22009,2022-01-19,13 14 18 31 33,07 10,"1,189,540,601.43","295,315,583"
22010,2022-01-22,04 19 25 31 35,02 11,"1,227,756,664.06","305,997,751"
22011,2022-01-24,03 05 17 24 32,05 12,"1,215,311,646.60","288,813,273"
22012,2022-01-26,03 05 10 33 34,07 10,"1,225,396,764.70","327,170,573"
22013,2022-02-09,04 09 16 25 32,05 06,"1,165,497,778.65","328,606,125"
22014,2022-02-12,01 04 10 18 32,01 09,"1,196,232,916.83","297,471,147"
22015,2022-02-14,01 02 08 12 30,05 12,"1,101,484,790.02","274,855,255"
22016,2022-02-16,01 07 17 26 32,01 09,"1,140,211,944.72","285,216,427"
22017,2022-02-19,10 14 18 23 25,07 11,"1,134,950,927.56","295,313,318"
22018,2022-02-21,16 21 29 31 34,06 09,"1,095,457,117.05","272,144,024"
22019,2022-02-23,01 04 07 17 21,01 02,"1,075,854,770.58","287,443,310"
22020,2022-02-26,16 17 30 31 35,08 09,"1,103,146,928.14","302,088,019"
22021,2022-02-28,11 15 16 18 35,06 09,"1,125,876,145.70","281,794,671"
22022,2022-03-02,01 05 14 17 28,06 07,"1,125,444,965.12","290,445,482"
22023,2022-03-05,04 05 18 20 25,11 12,"1,092,622,292.93","308,200,898"
22024,2022-03-07,01 02 11 30 35,01 12,"1,140,166,345.77","282,564,402"
22025,2022-03-09,04 07 22 24 29,01 07,"1,186,204,971.21","287,810,009"
22026,2022-03-12,11 14 22 23 27,08 10,"1,190,311,490.14","302,400,234"
22027,2022-03-14,03 06 11 31 32,05 12,"1,172,229,996.66","272,660,463"
22028,2022-03-16,04 09 16 17 35,01 07,"1,160,852,484.28","271,216,347"
22029,2022-03-19,07 08 10 14 17,10 12,"1,179,206,273.86","287,037,282"
22030,2022-03-21,12 14 15 21 30,01 09,"1,205,677,592.73","264,133,524"
22031,2022-03-23,07 14 16 20 28,04 08,"1,208,966,802.16","275,183,386"
22032,2022-03-26,05 09 18 31 32,01 05,"1,270,429,256.90","293,074,610"
22033,2022-03-28,08 15 16 19 33,03 04,"1,255,163,229.82","271,656,444"
22034,2022-03-30,02 10 24 27 28,06 07,"1,248,571,195.23","276,331,348"
22035,2022-04-02,09 11 13 23 31,05 08,"1,262,351,648.20","278,506,614"
22036,2022-04-04,18 19 21 26 34,06 07,"1,288,426,891.93","248,062,195"
22037,2022-04-06,01 09 17 20 28,06 10,"1,326,357,581.54","255,392,443"
22038,2022-04-09,07 09 11 12 26,09 12,"1,218,640,918.48","277,396,313"
22039,2022-04-11,01 08 11 22 31,05 11,"1,238,597,563.36","256,237,338"
22040,2022-04-13,10 19 25 29 33,08 12,"1,179,022,270.45","326,654,540"
22041,2022-04-16,05 15 25 26 33,06 11,"1,182,772,175.92","353,526,676"
22042,2022-04-18,08 10 11 29 32,02 06,"1,179,249,861.19","323,544,249"
22043,2022-04-20,02 16 17 24 30,09 12,"1,106,933,108.19","322,417,914"
22044,2022-04-23,01 02 16 17 20,03 07,"1,132,266,362.38","351,891,169"
22045,2022-04-25,02 03 07 12 20,01 05,"1,184,751,389.21","322,807,049"
22046,2022-04-27,06 07 12 22 27,03 05,"1,151,734,276.01","319,329,723"
22047,2022-04-30,07 10 11 12 33,03 11,"1,179,450,986.29","333,697,226"
22048,2022-05-02,16 22 28 29 32,08 09,"1,221,336,676.21","291,309,246"
22049,2022-05-04,06 10 20 28 35,01 10,"1,238,138,013.76","301,545,430"
22050,2022-05-07,02 10 21 24 30,08 10,"1,265,185,550.03","348,959,440"
22051,2022-05-09,01 16 17 19 33,05 06,"1,225,933,266.64","304,581,312"
22052,2022-05-11,01 13 18 29 35,04 09,"1,198,829,807.29","310,675,547"
22053,2022-05-14,09 17 19 20 25,01 09,"1,081,408,712.72","344,052,818"
22054,2022-05-16,05 16 21 23 34,07 10,"958,213,629.63","319,626,218"
22055,2022-05-18,01 02 12 15 23,04 06,"971,105,598.60","327,354,148"
22056,2022-05-21,02 11 15 17 31,07 09,"1,056,706,742.26","357,963,502"
22057,2022-05-23,06 12 18 21 35,07 10,"1,050,548,455.41","321,743,486"
22058,2022-05-25,03 04 24 26 35,07 08,"1,014,062,807.45","315,162,700"
22059,2022-05-28,04 15 18 32 34,04 09,"1,042,057,372.73","360,168,383"
22060,2022-05-30,02 06 10 11 20,03 09,"1,073,598,422.82","299,617,214"
22061,2022-06-01,06 09 19 22 30,01 06,"1,050,658,907","291,593,427"
22062,2022-06-04,05 09 11 12 31,07 11,"1,055,150,107.74","317,092,728"
22063,2022-06-06,02 03 22 26 31,06 10,"1,094,156,707.88","298,558,863"
22064,2022-06-08,02 19 22 25 35,05 07,"1,156,831,124.52","302,545,998"
22065,2022-06-11,05 10 13 22 28,01 04,"1,205,499,301.06","322,990,947"
22066,2022-06-13,02 24 25 26 34,03 12,"1,257,070,426.73","300,292,058"
22067,2022-06-15,04 14 15 32 33,10 11,"1,213,949,798.85","295,204,928"
22068,2022-06-18,03 06 10 15 23,03 08,"1,230,825,950.08","322,509,914"
22069,2022-06-20,02 03 23 28 35,02 09,"1,252,345,739.23","293,067,958"
22070,2022-06-22,01 07 17 23 35,07 11,"1,240,666,270.84","288,052,831"
22071,2022-06-25,09 15 19 25 29,08 09,"722,042,898.53","306,432,833"
22072,2022-06-27,01 12 13 15 30,03 07,"754,035,319.29","285,522,661"
22073,2022-06-29,11 18 21 25 32,02 04,"795,817,234.53","287,420,936"
22074,2022-07-02,02 06 21 25 28,02 06,"812,683,583.45","305,228,062"
22075,2022-07-04,04 12 13 17 18,07 09,"831,794,198.12","280,513,406"
22076,2022-07-06,05 17 30 34 35,02 09,"853,413,998.84","279,968,673"
22077,2022-07-09,05 10 11 16 19,01 10,"822,341,601.26","303,064,936"
22078,2022-07-11,02 03 18 20 27,01 02,"857,454,985.83","277,517,440"
22079,2022-07-13,07 10 19 26 32,08 12,"814,806,479.61","274,537,529"
22080,2022-07-16,10 17 30 31 34,03 06,"854,183,132.28","297,387,957"
22081,2022-07-18,05 10 19 31 32,09 10,"656,541,909.58","275,005,199"
22082,2022-07-20,04 26 27 30 33,02 09,"683,037,489.26","273,662,938"
22083,2022-07-23,02 09 17 26 32,04 06,"694,213,667.56","294,221,785"
22084,2022-07-25,03 11 19 25 27,04 12,"725,347,023.25","273,954,096"
22085,2022-07-27,11 16 31 33 35,06 08,"779,393,038.82","272,086,013"
22086,2022-07-30,04 10 21 28 31,08 11,"794,672,440.52","297,073,867"
22087,2022-08-01,04 06 10 24 28,06 12,"840,840,031.65","274,453,796"
22088,2022-08-03,01 08 10 20 35,06 11,"812,522,097.17","265,773,772"
22089,2022-08-06,01 20 21 31 33,03 11,"884,490,880.76","283,719,023"
22090,2022-08-08,01 20 24 25 31,09 12,"912,078,543.50","267,762,065"
22091,2022-08-10,02 11 20 22 34,04 12,"892,175,409.44","264,872,501"
22092,2022-08-13,01 04 12 23 29,05 12,"924,505,092.44","284,162,500"
22093,2022-08-15,07 11 14 21 29,07 10,"835,132,342.35","263,859,632"
22094,2022-08-17,03 04 07 12 19,02 05,"765,240,459.43","263,091,435"
22095,2022-08-20,05 08 22 25 35,02 07,"779,067,574.97","285,755,605"
22096,2022-08-22,16 19 24 27 33,01 06,"818,056,288.32","265,333,149"
22097,2022-08-24,05 13 22 28 29,05 11,"812,318,845.97","265,903,896"
22098,2022-08-27,01 03 06 11 13,03 11,"808,652,607.22","290,597,334"
22099,2022-08-29,07 18 25 27 33,04 05,"828,721,804.33","262,403,522"
22100,2022-08-31,10 19 20 23 31,03 07,"778,544,296.17","263,081,270"
22101,2022-09-03,02 04 06 07 08,03 06,"795,328,775.67","285,323,196"
22102,2022-09-05,01 05 14 20 30,02 04,"802,491,817.95","254,102,938"
22103,2022-09-07,08 12 16 21 32,01 12,"828,275,399.62","257,860,867"
22104,2022-09-10,03 05 13 19 25,02 05,"815,868,126.59","278,107,743"
22105,2022-09-12,01 08 09 21 22,01 04,"797,227,537.62","261,227,681"
22106,2022-09-14,16 17 21 28 32,04 07,"817,054,416.65","263,686,397"
22107,2022-09-17,07 09 19 28 29,08 10,"771,831,893.27","289,183,885"
22108,2022-09-19,04 07 13 26 28,07 11,"796,949,041.90","270,398,530"
22109,2022-09-21,05 09 24 29 35,05 12,"726,986,669.25","274,478,389"
22110,2022-09-24,02 13 16 18 23,03 06,"741,140,375.95","293,502,614"
22111,2022-09-26,06 12 16 19 31,06 10,"770,835,538.84","275,608,888"
22112,2022-09-28,04 11 18 20 26,06 12,"782,148,236.89","277,451,326"
22113,2022-10-05,13 15 22 31 33,05 12,"816,761,134.28","276,092,506"
22114,2022-10-08,11 21 24 27 28,05 10,"850,606,831.09","279,880,005"
22115,2022-10-10,17 19 20 23 27,03 08,"876,900,512.54","264,625,441"
22116,2022-10-12,01 07 20 22 31,07 12,"903,895,960.47","268,635,897"
22117,2022-10-15,09 12 15 21 32,02 07,"943,874,218.60","288,760,077"
22118,2022-10-17,02 05 15 17 26,02 08,"980,149,419.52","266,205,201"
22119,2022-10-19,01 09 16 25 29,04 09,"935,330,701.36","265,928,079"
22120,2022-10-22,11 22 26 30 33,03 05,"785,438,059.18","297,092,815"
22121,2022-10-24,04 15 16 20 21,04 05,"808,811,731.54","273,260,256"
22122,2022-10-26,04 15 17 19 25,06 12,"833,361,576.04","274,529,792"
22123,2022-10-29,02 20 28 29 30,07 10,"807,264,781.73","305,820,352"
22124,2022-10-31,02 04 11 25 30,06 12,"829,363,342.19","280,957,519"
22125,2022-11-02,03 07 14 16 19,01 11,"847,578,280.31","281,402,027"
22126,2022-11-05,04 05 08 22 35,01 03,"858,035,622.37","302,545,991"
22127,2022-11-07,02 03 08 09 20,04 10,"898,918,318.08","281,679,123"
22128,2022-11-09,10 19 21 23 35,04 10,"971,487,159.52","287,676,329"
22129,2022-11-12,10 17 23 34 35,01 04,"1,037,498,580.49","296,103,979"
22130,2022-11-14,05 07 15 18 23,05 10,"1,072,190,623.65","276,026,401"
22131,2022-11-16,02 06 08 10 17,05 06,"1,023,428,077.10","280,955,531"
22132,2022-11-19,02 27 30 34 35,09 12,"1,087,727,608.19","303,478,141"
22133,2022-11-21,01 02 14 30 31,06 09,"1,126,501,374.52","268,194,352"
22134,2022-11-23,03 16 23 27 32,03 06,"1,082,667,691.29","260,504,803"
22135,2022-11-26,09 10 27 31 32,01 03,"1,072,783,224.93","276,637,790"
22136,2022-11-28,01 11 15 17 33,03 11,"1,089,020,630.41","243,043,220"
22137,2022-11-30,05 06 08 15 20,07 08,"1,041,138,782.99","236,652,115"
22138,2022-12-03,05 13 16 27 33,07 12,"983,440,468.09","263,569,680"
22139,2022-12-05,01 13 14 22 35,02 05,"1,016,097,851.23","249,420,144"
22140,2022-12-07,05 15 25 26 29,04 12,"984,601,777.52","263,913,540"
22141,2022-12-10,05 06 14 24 25,02 04,"1,047,136,066.48","280,927,317"
22142,2022-12-12,07 12 14 29 35,01 11,"1,078,507,658.16","261,964,327"
22143,2022-12-14,10 13 14 27 33,07 08,"1,091,325,801.32","250,946,991"
22144,2022-12-17,03 04 08 15 21,04 07,"1,077,698,266.51","254,622,809"
22145,2022-12-19,10 20 29 30 35,06 09,"1,054,075,162.55","235,282,028"
22146,2022-12-21,01 21 23 28 35,07 09,"1,091,896,945.67","226,981,538"
22147,2022-12-24,04 12 22 28 30,09 11,"1,126,392,172.08","242,212,561"
22148,2022-12-26,04 05 06 26 27,07 12,"1,098,940,648.32","222,561,477"
22149,2022-12-28,15 19 22 26 28,02 07,"1,073,084,049.88","227,015,437"
22150,2022-12-31,06 07 26 29 30,03 12,"1,071,397,015.78","267,131,944"
23001,2023-01-02,18 19 24 27 34,11 12,"1,124,542,797.38","244,595,607"
23002,2023-01-04,11 14 21 26 27,02 07,"1,153,840,957.44","255,061,637"
23003,2023-01-07,05 06 14 21 22,02 09,"1,140,824,557.86","281,549,083"
23004,2023-01-09,04 13 15 20 22,04 08,"1,157,028,435.66","258,433,073"
23005,2023-01-11,01 03 10 20 29,06 11,"1,150,759,496.08","271,728,892"
23006,2023-01-14,02 04 12 27 35,06 07,"1,166,367,354.78","286,730,809"
23007,2023-01-16,02 03 24 30 32,01 06,"1,214,621,616.68","270,298,202"
23008,2023-01-18,04 09 17 22 25,01 05,"1,153,640,352.57","322,639,161"
23009,2023-01-30,01 05 11 15 33,01 10,"1,167,513,305.02","288,306,205"
23010,2023-02-01,05 06 13 23 26,01 06,"1,144,740,863.03","272,385,898"
23011,2023-02-04,02 07 08 17 25,01 03,"1,156,695,738.61","297,936,990"
23012,2023-02-06,07 16 17 18 28,02 03,"1,048,716,293.80","274,786,290"
23013,2023-02-08,01 02 09 23 25,02 06,"1,040,036,601.76","290,272,193"
23014,2023-02-11,03 08 18 22 24,01 09,"1,037,380,726.45","308,698,349"
23015,2023-02-13,08 16 24 25 34,08 12,"1,006,012,729.20","286,304,176"
23016,2023-02-15,02 04 12 31 32,07 11,"929,208,065.35","294,344,609"
23017,2023-02-18,02 05 09 22 27,10 11,"709,369,027.01","325,814,136"
23018,2023-02-20,04 08 17 26 30,03 11,"732,297,153.78","297,501,654"
23019,2023-02-22,05 08 09 11 15,06 08,"706,197,256.79","298,433,689"
23020,2023-02-25,05 06 23 25 28,06 09,"648,355,013.37","323,977,748"
23021,2023-02-27,02 09 18 23 27,03 05,"648,618,913.39","304,448,024"
23022,2023-03-01,07 11 15 26 28,08 10,"656,985,938.78","304,855,393"
23023,2023-03-04,09 21 23 25 33,03 10,"641,960,896.09","327,693,006"
23024,2023-03-06,11 15 24 27 30,01 10,"662,152,862.38","299,898,051"
23025,2023-03-08,03 09 27 30 31,11 12,"667,313,212.93","298,831,206"
23026,2023-03-11,02 13 24 27 30,01 06,"733,932,864.84","316,826,904"
23027,2023-03-13,09 10 12 15 23,03 06,"734,749,840.59","288,212,889"
23028,2023-03-15,01 03 29 30 34,04 12,"807,820,511.36","293,553,586"
23029,2023-03-18,07 25 27 34 35,09 11,"873,738,106.45","309,186,270"
23030,2023-03-20,06 11 12 20 35,05 12,"880,358,984.23","291,586,529"
23031,2023-03-22,05 07 08 16 25,03 11,"861,440,447.46","287,302,404"
23032,2023-03-25,05 06 18 28 30,02 07,"771,590,189.93","308,131,139"
23033,2023-03-27,04 06 10 11 25,07 09,"787,964,749.81","289,373,837"
23034,2023-03-29,07 09 10 15 24,04 12,"803,285,352.70","287,732,716"
23035,2023-04-01,07 14 23 25 29,02 11,"790,017,644.64","310,558,399"
23036,2023-04-03,01 13 22 26 31,02 10,"752,208,151.04","285,032,829"
23037,2023-04-05,06 08 16 20 24,07 08,"768,030,435.90","284,657,775"
23038,2023-04-08,04 10 18 27 32,10 12,"806,289,674.33","311,720,942"
23039,2023-04-10,02 24 26 30 34,06 07,"869,785,636.84","368,190,696"
23040,2023-04-12,04 05 18 22 30,05 12,"827,601,739.51","369,110,639"
23041,2023-04-15,05 08 13 26 35,05 09,"794,168,912.22","389,220,667"
23042,2023-04-17,02 16 21 23 27,01 08,"828,299,303.69","362,398,489"
23043,2023-04-19,02 04 17 20 27,01 08,"853,496,451.85","356,711,435"
23044,2023-04-22,02 06 07 08 15,07 10,"868,495,061.73","378,830,462"
23045,2023-04-24,07 10 13 28 31,04 05,"855,642,317.06","346,712,734"
23046,2023-04-26,13 21 25 28 32,02 10,"948,200,742.09","352,135,852"
23047,2023-04-29,10 12 13 24 25,11 12,"952,628,083.51","362,544,707"
23048,2023-05-01,07 13 16 25 32,09 11,"994,472,934.30","313,990,124"
23049,2023-05-03,03 17 22 26 28,07 12,"997,411,126.33","331,270,234"
23050,2023-05-06,08 09 14 25 29,04 06,"1,005,750,816.44","375,710,449"
23051,2023-05-08,03 11 19 29 33,03 12,"859,364,126.46","349,432,627"
23052,2023-05-10,02 08 11 30 33,05 08,"854,240,159.11","355,627,104"
23053,2023-05-13,01 03 11 14 20,02 11,"892,267,763.87","372,295,609"
23054,2023-05-15,19 25 30 31 34,07 09,"874,577,473.87","350,143,702"
23055,2023-05-17,06 08 12 13 15,01 06,"856,791,468.88","350,342,112"
23056,2023-05-20,13 22 24 33 34,01 02,"920,035,696.74","398,657,811"
23057,2023-05-22,01 05 06 19 24,05 11,"903,873,949.54","344,889,264"
23058,2023-05-24,19 22 29 32 35,05 08,"872,966,224.60","363,828,515"
23059,2023-05-27,09 13 23 25 28,04 07,"812,443,525.01","358,763,124"
23060,2023-05-29,02 07 19 24 30,09 12,"688,684,878.15","310,894,364"
23061,2023-05-31,07 11 21 30 32,05 07,"750,108,293.03","309,303,838"
23062,2023-06-03,06 08 22 24 30,01 08,"758,202,286.81","326,064,748"
23063,2023-06-05,04 18 29 31 34,06 09,"758,945,368.33","302,254,758"
23064,2023-06-07,02 06 09 31 32,03 07,"747,516,040","306,244,331"
23065,2023-06-10,08 14 16 21 25,03 12,"807,401,652.03","326,869,150"
23066,2023-06-12,06 11 13 30 32,01 03,"846,071,268.24","311,912,224"
23067,2023-06-14,02 28 30 33 35,02 10,"877,298,736.71","306,580,086"
23068,2023-06-17,21 22 24 27 31,07 08,"874,858,098.72","323,126,932"
23069,2023-06-19,08 20 21 25 32,05 07,"908,523,228.30","295,437,282"
23070,2023-06-21,10 26 29 32 33,03 11,"896,500,867.52","299,252,381"
23071,2023-06-24,02 11 12 32 34,10 12,"901,185,515.05","317,016,133"
23072,2023-06-26,05 06 09 11 14,02 04,"932,426,488.55","303,438,691"
23073,2023-06-28,15 25 28 30 35,08 10,"940,619,193.45","300,986,764"
23074,2023-07-01,03 13 22 29 34,02 09,"959,326,220.29","317,553,672"
23075,2023-07-03,07 17 20 23 32,05 11,"917,148,171.29","291,887,672"
23076,2023-07-05,08 09 11 26 34,02 07,"948,501,277.04","299,341,312"
23077,2023-07-08,05 16 18 26 35,03 06,"880,499,424.63","310,865,876"
23078,2023-07-10,02 03 06 26 27,07 08,"846,788,540.97","290,049,087"
23079,2023-07-12,06 08 26 29 34,05 08,"860,725,831.35","297,882,990"
